,word,transcript,neighbours
89,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e', 'h']","[['f', ""s'"", 'e', 'm'], ['f', ""s'"", 'e', 'j'], ['f', ""s'"", 'e']]"
90,"['д', 'в', 'а']","['d', 'v', 'a']","[['d', 'a'], ['d', ""v'"", 'e'], ['d', 'n', 'a']]"
91,"['с', 'в', 'о', 'й']","['s', 'v', 'o', 'j']","[['s', 't', 'o', 'j'], ['s', 'l', 'o', 'j'], ['t', 'v', 'o', 'j'], ['v', 'o', 'j'], ['s', 'v', 'o', 't']]"
92,"['п', 'р', 'о']","['p', 'r', 'o']","[['p', ""r'"", 'i'], ['p', 'r', 'o', 'p'], ['p', 'o']]"
93,"['в', 'с', 'ю']","['f', ""s'"", 'u']","[['f', ""s'"", 'e'], ['f', ""s'"", 'a'], ['f', ""s'"", 'o']]"
94,"['д', 'н', 'я']","[""d'"", ""n'"", 'a']","[['d', 'n', 'a'], ['d', 'n', 'u'], [""d'"", ""n'"", 'a', 'h'], [""d'"", ""n'"", 'a', 'm'], ['d', ""l'"", 'a'], [""d'"", ""n'"", 'i'], [""d'"", ""n'"", 'u'], ['d', 'n', 'o'], [""d'"", ""n'"", 'e']]"
95,"['н', 'ё', 'м']","[""n'"", 'o', 'm']","[['ch', 'o', 'm'], [""n'"", 'i', 'm'], [""n'"", 'o', 's'], [""s'"", 'o', 'm'], [""d'"", ""n'"", 'o', 'm'], ['n', 'a', 'm']]"
96,"['в', 'с', 'ё']","['f', ""s'"", 'o']","[['f', ""s'"", 'e'], ['f', ""s'"", 'u'], ['f', ""s'"", 'o', 'm'], ['f', ""s'"", 'a']]"
97,"['к', 'о']","['k', 'o']","[['k', 't', 'o'], ['k', 'a'], ['o'], ['n', 'o'], ['t', 'o'], ['b', 'o'], ['v', 'o'], ['d', 'o'], ['p', 'o'], ['s', 'o'], ['k', 'o', 'm'], ['k', 'o', 't']]"
98,"['т', 'р', 'и']","['t', ""r'"", 'i']","[['p', ""r'"", 'i']]"
99,"['ж', 'и', 'з', 'н', 'ь']","['zh', 'y', ""z'"", ""n'""]",[]
100,"['ж', 'и', 'з', 'н', 'ь']","['zh', 'y', ""z'"", ""n'""]",[]
101,"['т', 'о']","['t', 'o']","[['t', 'o', 'j'], ['s', 't', 'o'], ['t', 'u'], ['v', 'o'], ['d', 'o'], ['p', 'o'], ['ch', 't', 'o'], ['t', 'a'], ['n', 'o'], ['b', 'o'], ['k', 't', 'o'], ['t', 'y'], ['k', 'o'], ['sh', 't', 'o'], ['o'], ['t', 'o', 'k'], ['s', 'o'], [""t'"", 'e'], ['t', 'o', 'n'], ['t', 'o', 'm'], ['t', 'o', 't']]"
102,"['н', 'е', 'й']","[""n'"", 'e', 'j']","[['ch', 'e', 'j'], [""n'"", 'e', 't'], [""n'"", 'e'], [""s'"", 'e', 'j'], ['j', 'e', 'j'], [""b'"", 'e', 'j'], [""d'"", ""n'"", 'e', 'j'], [""p'"", 'e', 'j']]"
103,"['д', 'в', 'а']","['d', 'v', 'a']","[['d', 'a'], ['d', ""v'"", 'e'], ['d', 'n', 'a']]"
104,"['ч', 'т', 'о', 'б']","['sh', 't', 'o', 'p']","[['ch', 't', 'o']]"
105,"['в', 'с', 'я']","['f', ""s'"", 'a']","[['f', ""s'"", 'a', 'k'], ['f', ""s'"", 'e'], ['f', ""s'"", 'u'], ['f', ""s'"", 'o']]"
106,"['в', 'а', 'с']","['v', 'a', 's']","[['v', 'a', 'j', 's'], ['ch', 'a', 's'], ['v', 'a', 'sh'], ['v', 'a', 'n'], ['v', 'a', 'm'], ['n', 'a', 's'], ['b', 'a', 's'], [""v'"", 'e', 's']]"
107,"['т', 'е', 'х']","[""t'"", 'e', 'h']","[[""t'"", 'e', 'l'], [""t'"", 'e', 'm'], [""t'"", 'e']]"
108,"['ч', 'у', 'т', 'ь']","['ch', 'u', ""t'""]","[['p', 'u', ""t'""], ['ch', 'u', 'sh'], ['s', 'u', ""t'""]]"
109,"['д', 'р', 'у', 'г']","['d', 'r', 'u', 'k']","[['v', 'd', 'r', 'u', 'k'], ['k', 'r', 'u', 'k']]"
110,"['ч', 'ё', 'м']","['ch', 'o', 'm']","[[""n'"", 'o', 'm'], ['ch', 'e', 'm'], [""s'"", 'o', 'm']]"
111,"['е', 'с', 'т', 'ь']","['j', 'e', ""s'"", ""t'""]","[['ch', 'e', ""s'"", ""t'""], ['j', 'e', 's', 't'], [""s'"", 'e', ""s'"", ""t'""], [""v'"", 'e', ""s'"", ""t'""], ['sh', 'e', ""s'"", ""t'""], [""m'"", 'e', ""s'"", ""t'""]]"
112,"['п', 'о', 'р']","['p', 'o', 'r']","[['v', 'o', 'r'], ['p', 'o', 't'], ['h', 'o', 'r'], ['p', 'o', 'r', 't'], ['p', 'o', 'p'], ['p', 'a', 'r'], ['s', 'p', 'o', 'r'], ['g', 'o', 'r'], ['p', 'o'], [""p'"", 'i', 'r'], ['p', 'o', 'l'], ['b', 'o', 'r'], ['p', 'o', 't']]"
113,"['ж', 'и', 'т', 'ь']","['zh', 'y', ""t'""]","[[""n'"", 'i', ""t'""], [""b'"", 'i', ""t'""], [""p'"", 'i', ""t'""]]"
